"","temp","devDay","variable","value"
"1",12,25,"low",5.48538259836779
"2",12,32,"low",8.85759581492659
"3",12,39,"low",12.2298090314854
"4",14.5,25,"low",6.46499643179052
"5",14.5,32,"low",10.4396094383033
"6",14.5,39,"low",14.414222444816
"7",17,25,"low",7.61955564512054
"8",17,32,"low",12.3041788846234
"9",17,39,"low",16.9888021241262
"10",12,25,"mid",2.98193347348888
"11",12,32,"mid",5.31706220365098
"12",12,39,"mid",7.65219093381308
"13",14.5,25,"mid",3.97698439782985
"14",14.5,32,"mid",6.89644708115961
"15",14.5,39,"mid",9.81590976448938
"16",17,25,"mid",5.1931326126518
"17",17,32,"mid",8.81699198779469
"18",17,39,"mid",12.4408513629376
"19",12,25,"high",0
"20",12,32,"high",0.218102315522895
"21",12,39,"high",4.51816872932572
"22",14.5,25,"high",0
"23",14.5,32,"high",2.49069296558341
"24",14.5,39,"high",7.55913586230855
"25",17,25,"high",0
"26",17,32,"high",5.16937157866015
"27",17,39,"high",11.1434917259453
